site,latitude,longitude,google_maps_url
ALSACE,48.41738742234724,7.364975537753779,"https://www.google.com/maps?q=48.41738742234724,7.364975537753779"
ANJI,30.715407223486704,119.87205918547049,"https://www.google.com/maps?q=30.715407223486704,119.87205918547049"
ARM,36.61145247329729,-97.49696483891456,"https://www.google.com/maps?q=36.61145247329729,-97.49696483891456"
ATTO,-2.1749848633473063,-59.00668067117989,"https://www.google.com/maps?q=-2.1749848633473063,-59.00668067117989"
BAMBENW2,14.70377479377244,-16.375667626963104,"https://www.google.com/maps?q=14.70377479377244,-16.375667626963104"
BENGA,23.705033839993575,87.61284810214923,"https://www.google.com/maps?q=23.705033839993575,87.61284810214923"
ES-IC3XG,42.04739220130155,-8.095462019136864,"https://www.google.com/maps?q=42.04739220130155,-8.095462019136864"
ES-LTERA,42.46490607429757,0.9443360066177194,"https://www.google.com/maps?q=42.46490607429757,0.9443360066177194"
ESGISB-1,45.166223540728474,-0.7011586186922133,"https://www.google.com/maps?q=45.166223540728474,-0.7011586186922133"
ESGISB-2,44.870578054383415,-0.773223354437223,"https://www.google.com/maps?q=44.870578054383415,-0.773223354437223"
ESGISB-3,44.553149770570194,-0.8573894703952091,"https://www.google.com/maps?q=44.553149770570194,-0.8573894703952091"
ESTUAMAR,5.745657992697503,-54.05531385063356,"https://www.google.com/maps?q=5.745657992697503,-54.05531385063356"
FGMANAUS,-2.4271053955615436,-59.96855826083288,"https://www.google.com/maps?q=-2.4271053955615436,-59.96855826083288"
FR-BIL,44.48355173313076,-0.9181328641797267,"https://www.google.com/maps?q=44.48355173313076,-0.9181328641797267"
FR-LAM,43.48634170807182,1.229695700917267,"https://www.google.com/maps?q=43.48634170807182,1.229695700917267"
FR-LQ1,45.63987731622039,2.730858696759631,"https://www.google.com/maps?q=45.63987731622039,2.730858696759631"
JAM2018,-22.625254166703865,-47.54435662985976,"https://www.google.com/maps?q=-22.625254166703865,-47.54435662985976"
K34-AMAZ,-2.5488028016540953,-60.29089233511944,"https://www.google.com/maps?q=-2.5488028016540953,-60.29089233511944"
KUDALIAR,18.071383590539824,78.71438035019165,"https://www.google.com/maps?q=18.071383590539824,78.71438035019165"
LERIDA-1,41.962347132791024,0.6407981871496966,"https://www.google.com/maps?q=41.962347132791024,0.6407981871496966"
NARYN,41.60183500354589,76.55633785751378,"https://www.google.com/maps?q=41.60183500354589,76.55633785751378"
SO1,43.57443295664936,1.1803640121336285,"https://www.google.com/maps?q=43.57443295664936,1.1803640121336285"
SO2,43.271805058086095,1.096998859261434,"https://www.google.com/maps?q=43.271805058086095,1.096998859261434"
SUDOUE-2,43.44603966542691,1.1795952337854383,"https://www.google.com/maps?q=43.44603966542691,1.1795952337854383"
SUDOUE-3,43.122374857075684,1.1209070403797126,"https://www.google.com/maps?q=43.122374857075684,1.1209070403797126"
SUDOUE-4,42.921260876933125,1.0771388819736187,"https://www.google.com/maps?q=42.921260876933125,1.0771388819736187"
SUDOUE-5,42.55199759619985,0.8947891020824061,"https://www.google.com/maps?q=42.55199759619985,0.8947891020824061"
SUDOUE-6,42.43571512601271,0.8819419429164453,"https://www.google.com/maps?q=42.43571512601271,0.8819419429164453"
